feature,timestamp
create_user,2021-05-12 22:58:07.415
create_product,2021-05-12 22:59:03.088
list_all_users,2021-05-12 22:59:06.918
list_all_products,2021-05-12 22:59:09.81
create_user,2021-05-25 10:35:12.136
create_product,2021-05-25 10:35:23.323
create_venue,2021-05-25 10:36:01.156
list_all_products,2021-05-25 10:36:08.377
list_all_users,2021-05-25 10:36:18.543
sum_of_products,2021-05-25 10:36:23.712
sum_of_products,2021-05-25 10:36:55.045
list_all_users,2021-05-25 10:36:56.511
sum_of_products,2021-05-25 10:38:53.687
create_user,2021-05-25 10:54:04.045
create_user,2021-05-25 10:54:30.845
create_product,2021-05-25 10:54:43.415
create_venue,2021-05-25 10:55:04.041
list_all_products,2021-05-25 10:55:12.489
list_all_users,2021-05-25 10:55:18.319
sum_of_products,2021-05-25 10:55:26.091
